area,manure,urea,npk,nitrogen,rain_sow,rain_flow,rain_cycle,rain_year,tillage_ca,tillage_till,village_Ambohimiarina,village_Ambohitsilaozana,village_Ambongabe,village_Ampitatsimo,village_Antsahamamy,soil_hillside,soil_lowland,CA_year_num,x24d_bin,glypho_bin,interaction_till_rain_sow,interaction_ca_rain_sow,interaction_till_rain_flow,interaction_ca_rain_flow,interaction_till_rain_cycle,interaction_ca_rain_cycle,interaction_till_rain_year,interaction_ca_rain_year,interaction_till_nitrogen,interaction_ca_nitrogen,interaction_till_area,interaction_ca_area,ratio_N_urea,ratio_N_manure,total_npk,sow_day_of_year,rain_cycle_squared,nitrogen_squared,area_squared,interaction_rain_nitrogen,interaction_rain_area,water_stress
0.0,150.0,0.0,0.0,0.0,31.7,125.2,773.4,1142.3,False,True,False,False,False,False,True,True,False,0,0,0,31.7,0.0,125.2,0.0,773.4,0.0,1142.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339,598147.5599999999,0.0,0.0,0.0,0.0,1
12.4,3643.7,81.0,0.0,37.26,66.0,71.3,836.5,875.4,True,False,False,False,False,False,True,True,False,3,0,0,0.0,66.0,0.0,71.3,0.0,836.5,0.0,875.4,0.0,37.26,0.0,12.4,0.45999432105776467,0.010225866502218486,0.0,351,699732.25,1388.3075999999999,153.76000000000002,31167.989999999998,10372.6,0
35.0,4166.7,85.7,0.0,39.422,58.6,126.8,985.7,1288.7,False,True,True,False,False,False,False,True,False,0,0,0,58.6,0.0,126.8,0.0,985.7,0.0,1288.7,0.0,39.422,0.0,35.0,0.0,0.45999463250137096,0.009461202039695192,0.0,319,971604.4900000001,1554.0940839999998,1225.0,38858.2654,34499.5,0
0.2,0.0,0.0,0.0,0.0,56.7,259.0,802.0,939.0,False,True,False,False,False,False,True,True,False,0,0,0,56.7,0.0,259.0,0.0,802.0,0.0,939.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,361,643204.0,0.0,0.04000000000000001,0.0,160.4,1
0.3,0.0,0.0,0.0,0.0,34.4,49.9,709.2,1142.3,False,True,False,False,False,False,True,False,True,0,0,0,34.4,0.0,49.9,0.0,709.2,0.0,1142.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,325,502964.6400000001,0.0,0.09,0.0,212.76000000000002,1
0.1,185.0,0.0,0.0,0.0,31.7,117.3,725.9,1142.3,False,True,False,False,False,False,True,True,False,0,0,0,31.7,0.0,117.3,0.0,725.9,0.0,1142.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,337,526930.8099999999,0.0,0.010000000000000002,0.0,72.59,1
0.2,0.0,0.0,0.0,0.0,65.2,16.5,716.3,801.7,True,False,False,False,True,False,False,False,True,2,0,0,0.0,65.2,0.0,16.5,0.0,716.3,0.0,801.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,345,513085.68999999994,0.0,0.04000000000000001,0.0,143.26,1
0.2,0.0,0.0,0.0,0.0,36.8,358.6,896.0,1105.0,True,False,True,False,False,False,False,False,True,1,1,1,0.0,36.8,0.0,358.6,0.0,896.0,0.0,1105.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,354,802816.0,0.0,0.04000000000000001,0.0,179.20000000000002,0
0.2,0.0,0.0,0.0,0.0,83.1,67.4,956.7,1089.9,False,True,False,True,False,False,False,False,True,0,0,0,83.1,0.0,67.4,0.0,956.7,0.0,1089.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,342,915274.8900000001,0.0,0.04000000000000001,0.0,191.34000000000003,0
0.0,0.0,0.0,0.0,0.0,63.4,139.4,925.2,1105.0,True,False,True,False,False,False,False,False,True,3,0,0,0.0,63.4,0.0,139.4,0.0,925.2,0.0,1105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348,855995.04,0.0,0.0,0.0,0.0,0
0.1,0.0,0.0,0.0,0.0,32.8,216.1,804.5,939.0,True,False,False,False,False,False,True,False,True,1,0,0,0.0,32.8,0.0,216.1,0.0,804.5,0.0,939.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,351,647220.25,0.0,0.010000000000000002,0.0,80.45,0
45.0,0.0,44.4,0.0,20.424,70.0,90.0,788.2,806.1,False,True,False,False,True,False,False,False,True,0,1,1,70.0,0.0,90.0,0.0,788.2,0.0,806.1,0.0,20.424,0.0,45.0,0.0,0.45998963987297586,20424.0,0.0,350,621259.2400000001,417.139776,2025.0,16098.1968,35469.0,1
0.1,0.0,0.0,0.0,0.0,83.1,67.4,956.7,1089.9,True,False,False,True,False,False,False,False,True,2,0,0,0.0,83.1,0.0,67.4,0.0,956.7,0.0,1089.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,342,915274.8900000001,0.0,0.010000000000000002,0.0,95.67000000000002,0
8.0,0.0,62.5,0.0,28.75,0.0,175.0,785.2,806.1,True,False,False,False,True,False,False,False,True,1,1,1,0.0,0.0,0.0,175.0,0.0,785.2,0.0,806.1,0.0,28.75,0.0,8.0,0.45999264011775814,28750.0,0.0,343,616539.04,826.5625,64.0,22574.5,6281.6,1
0.2,0.0,0.0,0.0,0.0,45.5,67.1,946.1,1089.9,True,False,False,True,False,False,False,False,True,1,0,0,0.0,45.5,0.0,67.1,0.0,946.1,0.0,1089.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,345,895105.2100000001,0.0,0.04000000000000001,0.0,189.22000000000003,0
0.2,300.0,0.0,0.0,0.0,10.0,41.3,921.2,1142.3,True,False,False,False,False,False,True,False,True,2,0,0,0.0,10.0,0.0,41.3,0.0,921.2,0.0,1142.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,350,848609.4400000001,0.0,0.04000000000000001,0.0,184.24,0
15.0,1333.3,0.0,0.0,0.0,109.8,52.5,755.5,875.4,False,True,False,False,False,False,True,False,True,0,0,0,109.8,0.0,52.5,0.0,755.5,0.0,875.4,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,361,570780.25,0.0,225.0,0.0,11332.5,1
0.2,0.0,0.0,0.0,0.0,90.0,34.4,928.6,1105.0,False,True,True,False,False,False,False,False,True,0,0,0,90.0,0.0,34.4,0.0,928.6,0.0,1105.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,345,862297.9600000001,0.0,0.04000000000000001,0.0,185.72000000000003,0
0.1,390.0,0.0,0.0,0.0,6.0,41.3,908.6,1142.3,True,False,False,False,False,False,True,True,False,3,0,0,0.0,6.0,0.0,41.3,0.0,908.6,0.0,1142.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,345,825553.9600000001,0.0,0.010000000000000002,0.0,90.86000000000001,0
0.0,0.0,0.0,0.0,0.0,136.2,153.4,916.0,1331.4,True,False,True,False,False,False,False,False,True,3,0,0,0.0,136.2,0.0,153.4,0.0,916.0,0.0,1331.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,839056.0,0.0,0.0,0.0,0.0,0
0.4,0.0,0.0,0.0,0.0,91.5,27.9,1011.0,1089.9,True,False,False,True,False,False,False,False,True,1,1,1,0.0,91.5,0.0,27.9,0.0,1011.0,0.0,1089.9,0.0,0.0,0.0,0.4,0.0,0.0,0.0,337,1022121.0,0.0,0.16000000000000003,0.0,404.40000000000003,0
18.5,2432.4,75.7,0.0,34.822,109.8,52.5,770.5,875.4,False,True,False,False,False,False,True,True,False,0,0,0,109.8,0.0,52.5,0.0,770.5,0.0,875.4,0.0,34.822,0.0,18.5,0.0,0.45999392346204143,0.014315896104301881,0.0,360,593670.25,1212.5716840000002,342.25,26830.351000000002,14254.25,1
0.1,3000.0,0.0,0.0,0.0,37.3,286.0,804.5,939.0,True,False,False,False,False,False,True,False,True,4,0,0,0.0,37.3,0.0,286.0,0.0,804.5,0.0,939.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,353,647220.25,0.0,0.010000000000000002,0.0,80.45,0
15.2,2500.0,0.0,0.0,0.0,132.2,176.0,1115.9,1288.7,True,False,True,False,False,False,False,False,True,1,0,0,0.0,132.2,0.0,176.0,0.0,1115.9,0.0,1288.7,0.0,0.0,0.0,15.2,0.0,0.0,0.0,330,1245232.8100000003,0.0,231.04,0.0,16961.68,0
4.0,3125.0,50.0,0.0,23.0,124.5,101.9,911.9,1108.4,True,False,False,False,True,False,False,False,True,1,1,1,0.0,124.5,0.0,101.9,0.0,911.9,0.0,1108.4,0.0,23.0,0.0,4.0,0.45999080018399635,0.007359997644800753,0.0,331,831561.61,529.0,16.0,20973.7,3647.6,0
4.1,0.0,0.0,0.0,0.0,40.2,15.1,682.9,875.4,True,False,False,False,False,False,True,False,True,1,0,0,0.0,40.2,0.0,15.1,0.0,682.9,0.0,875.4,0.0,0.0,0.0,4.1,0.0,0.0,0.0,10,466352.41,0.0,16.81,0.0,2799.89,1
0.1,350.0,0.0,6.0,0.66,15.2,338.6,944.2,1331.4,True,False,True,False,False,False,False,False,True,4,0,1,0.0,15.2,0.0,338.6,0.0,944.2,0.0,1331.4,0.0,0.66,0.0,0.1,660.0,0.0018857088979745773,6.0,334,891513.6400000001,0.43560000000000004,0.010000000000000002,623.172,94.42000000000002,0
